rel_month,coef,se,ci_lo,ci_hi,kind
-12,-0.1973757631791306,0.048868696353456705,-0.29315840803190574,-0.10159311832635547,monthly
-11,-0.1358450004709919,0.05024405601041243,-0.23432335025140028,-0.03736665069058355,monthly
-10,-0.07188223945062343,0.076552647049996,-0.22192542766861556,0.07816094876736872,monthly
-9,-0.10781675298670153,0.090615028513168,-0.2854222088725108,0.06978870289910773,monthly
-8,-0.12071364619394248,0.07351447282354667,-0.26480201292809397,0.023374720540209004,monthly
-7,-0.05692924605880587,0.05896265650987634,-0.1724960528181635,0.058637560700551754,monthly
-6,-0.2020344467194799,0.08430072352566251,-0.3672638648297784,-0.03680502860918139,monthly
-5,-0.23178279001896748,0.082143270086214,-0.39278359938794694,-0.07078198064998806,monthly
-4,-0.23930416134611643,0.11083389969098628,-0.45653860474044955,-0.022069717951783308,monthly
-3,-0.2156718011813876,0.062442558615861954,-0.338059216068477,-0.09328438629429817,monthly
-2,-0.2481723216957871,0.12383356744825012,-0.4908861138943573,-0.0054585294972168685,monthly
-1,-0.1752154927930932,0.07685768627165021,-0.3258565578855276,-0.02457442770065879,monthly
1,-0.2869701533670353,0.05583413119489511,-0.3964050505090297,-0.1775352562250409,monthly
2,-0.32202801901332395,0.08985976931802368,-0.49815316687665034,-0.14590287114999753,monthly
3,-0.3482330439295518,0.09077629634138504,-0.5261545847586665,-0.1703115031004371,monthly
4,-0.34421096587946876,0.13781762204505768,-0.6143335050877818,-0.07408842667115573,monthly
5,-0.015290751318814138,0.11265702645882547,-0.23609852317811206,0.2055170205404838,monthly
6,-0.283290334220793,0.09674472313013188,-0.4729099915558515,-0.09367067688573455,monthly
7,-0.26259108921972735,0.08203709590494011,-0.42338379719340996,-0.10179838124604473,monthly
8,-0.286911037890753,0.06077200452713177,-0.40602416676393127,-0.16779790901757474,monthly
9,-0.22060470234647586,0.06677364344836031,-0.3514810435052621,-0.08972836118768965,monthly
10,-0.17228905459589974,0.05197069258802359,-0.274151612068426,-0.07042649712337351,monthly
11,-0.13919309334109198,0.06984469123793267,-0.27608868816744003,-0.002297498514743951,monthly
12,-0.21043915829374632,0.11714735445186267,-0.44004797301939713,0.01916965643190449,monthly
13,-0.14948219634155213,0.0449976465867738,-0.23767758365162878,-0.06128680903147549,monthly
14,-0.21355892479604216,0.10085591368292461,-0.4112365156145744,-0.01588133397750993,monthly
15,-0.1493962447482779,0.09272327591167989,-0.3311338655351705,0.0323413760386147,monthly
16,-0.14318321572320683,0.10129261765804998,-0.34171674633298477,0.055350314886571134,monthly
17,0.10285671506277183,0.06999120273648185,-0.03432604230073261,0.24003947242627627,monthly
18,-0.13007742701311414,0.10591579005936294,-0.3376723755294655,0.07751752150323721,monthly
19,-0.2479470612296227,0.059492309389333094,-0.36455198763271557,-0.13134213482652984,monthly
20,-0.11391885034682502,0.06920432585463261,-0.24955932902190492,0.021721628328254902,monthly
21,-0.10501234755243585,0.07828104633963416,-0.2584431983781188,0.04841850327324709,monthly
22,-0.14383437602375734,0.0521508815961109,-0.24605010395213472,-0.041618648095379976,monthly
23,-0.0750779566827594,0.0984806522580405,-0.26810003510851876,0.11794412174299995,monthly
24,-0.104964574278503,0.14356579621561902,-0.38635353486111623,0.17642438630411025,monthly
25,-0.2024548037876811,0.08190425106625429,-0.3629871358775395,-0.041922471697822705,monthly
