rel_month,coef,se,ci_lo,ci_hi,kind
-12,-0.12208404334923778,0.12873240361800328,-0.3743995544405242,0.13023146774204863,monthly
-11,-0.14878048919988046,0.07931523713670048,-0.3042383539878134,0.006677375588052481,monthly
-10,0.08059401914162125,0.08125130342595,-0.07865853557324075,0.23984657385648323,monthly
-9,-0.07141381818660147,0.10599811426839814,-0.2791701221526618,0.13634248577945887,monthly
-8,-0.0295262578971651,0.12417018468587204,-0.2728998198814743,0.2138473040871441,monthly
-7,0.23825037243344677,0.09299000827354965,0.055989956217289444,0.4205107886496041,monthly
-6,-0.09974487423678365,0.101374251539623,-0.2984384072544447,0.09894865878087743,monthly
-5,-0.16446390250646442,0.1203764937627268,-0.40040183028140897,0.0714740252684801,monthly
-4,-0.2180809466520678,0.13871140042013427,-0.48995529147553096,0.05379339817139539,monthly
-3,-0.2025503244029913,0.13033807855999635,-0.45801295838058415,0.052912309574601524,monthly
-2,-0.279493986172676,0.10177200734061059,-0.4789671205602728,-0.08002085178507926,monthly
-1,-0.0007592742456625438,0.14583536016124818,-0.28659658016170897,0.2850780316703839,monthly
1,0.008595804539883631,0.13015480353792216,-0.2465076103944438,0.26369921947421104,monthly
2,0.2896774714998572,0.11141922424330668,0.07129579198297609,0.5080591510167383,monthly
3,-0.1123122089157661,0.1676510056958889,-0.44090818007970833,0.21628376224817614,monthly
4,-0.2089568361360938,0.1985216950670616,-0.5980593584675346,0.1801456861953469,monthly
5,0.05270830273295757,0.1474340285119054,-0.236262393150377,0.34167899861629214,monthly
6,-0.08647700040571442,0.10797488126851347,-0.2981077676920008,0.125153766880572,monthly
7,-0.1662505400391749,0.10754049339058887,-0.37702990708472905,0.04452882700637928,monthly
8,-0.17536046739775343,0.06193219340966963,-0.2967475664807059,-0.05397336831480097,monthly
9,-0.4035064243924471,0.11671021221462045,-0.6322584403331032,-0.17475440845179102,monthly
10,-0.2342627109819271,0.1419269022657878,-0.5124394394228712,0.04391401745901699,monthly
11,-0.06685558770153087,0.05091411064787723,-0.16664724457137026,0.032936069168308504,monthly
12,-0.18218354618783064,0.11343151753327796,-0.40450932055305544,0.04014222817739416,monthly
13,-0.08636414650973966,0.10529223551486318,-0.2927369281188715,0.12000863509939218,monthly
14,0.1659898469420902,0.14707805804392285,-0.12228314682399857,0.454262840708179,monthly
15,0.06843550033605436,0.1589586092668052,-0.2431233738268838,0.37999437449899254,monthly
16,0.10707381781221528,0.11595473429005386,-0.12019746139629028,0.33434509702072085,monthly
17,0.1314550272880859,0.18740857602254474,-0.23586578171610179,0.49877583629227357,monthly
18,0.11039474864992262,0.14260191359601943,-0.16910500199827544,0.38989449929812064,monthly
19,-0.04691499262519153,0.13544460882539017,-0.3123864259229563,0.2185564406725732,monthly
20,-0.03625578007192444,0.10243509759639745,-0.23702857136086342,0.16451701121701456,monthly
21,-0.09611078175352565,0.1089743262388065,-0.3097004611815864,0.11747889767453508,monthly
22,-0.26968725185760245,0.09784254619981944,-0.46145864240924855,-0.07791586130595635,monthly
23,-0.275448585518889,0.1833971304035089,-0.6349069611097664,0.08400979007198844,monthly
24,-0.23591686086020303,0.12799288025258865,-0.48678290615527675,0.0149491844348707,monthly
25,-0.09119364615822732,0.10371640686672165,-0.29447780361700177,0.1120905113005471,monthly
