rel_month,coef,se,ci_lo,ci_hi,kind
-12,-0.18484559998904715,0.05277823945991435,-0.2882909493304793,-0.08140025064761502,monthly
-11,-0.07931158801247824,0.04437288162893531,-0.16628243600519144,0.007659259980234964,monthly
-10,-0.09159745496473573,0.058225441863750546,-0.2057193210176868,0.022524411088215332,monthly
-9,-0.2186310869768254,0.0452857914811637,-0.3073912382799062,-0.12987093567374455,monthly
-8,-0.09972777362115831,0.04139528604309658,-0.1808625342656276,-0.018593012976689013,monthly
-7,0.13443876680829048,0.07160481415510757,-0.005906668935720366,0.2747842025523013,monthly
-6,0.04298392858354606,0.08475462223266635,-0.12313513099247998,0.20910298815957212,monthly
-5,-0.05208592992753916,0.07763430484521903,-0.20424916742416846,0.10007730756909014,monthly
-4,-0.12924876371966326,0.04523431041895753,-0.21790801214082,-0.040589515298506504,monthly
-3,-0.06122041980487999,0.04890201867298145,-0.15706837640392363,0.034627536794163645,monthly
-2,-0.1118106487770506,0.07399232735794134,-0.25683561039861563,0.033214312844514426,monthly
-1,-0.03902896927740912,0.06711955617825834,-0.17058329938679545,0.09252536083197721,monthly
1,-0.19691496947869838,0.05587267889896321,-0.30642542012066626,-0.08740451883673049,monthly
2,-0.07216906104580507,0.0706138947249026,-0.2105722947066142,0.06623417261500404,monthly
3,-0.12088979127062542,0.07869512839046959,-0.2751322429159458,0.03335266037469496,monthly
4,-0.2559337704111829,0.07158588852230482,-0.3962421119149004,-0.11562542890746547,monthly
5,-0.01440475808347126,0.09191486628521293,-0.1945578960024886,0.1657483798355461,monthly
6,-0.04153568194782511,0.08667484401692561,-0.21141837622099932,0.1283470123253491,monthly
7,-0.14975346012369628,0.09198784382023412,-0.3300496340113551,0.030542713763962587,monthly
8,-0.012470044044606641,0.06426507935370653,-0.13842959957787143,0.11348951148865816,monthly
9,0.011583383569985617,0.08267466994742664,-0.1504589695269706,0.17362573666694184,monthly
10,-0.09648392507923811,0.05038628304288247,-0.19524103984328778,0.0022731896848115357,monthly
11,0.010611513728536973,0.06049529269233926,-0.10795925994844797,0.12918228740552193,monthly
12,-0.06365381608859516,0.050324783854521535,-0.1622903924434574,0.03498276026626705,monthly
13,-0.02494621835118648,0.05804076552306747,-0.1387061187763987,0.08881368207402576,monthly
14,-0.06257016217717978,0.06177504713680586,-0.18364925456531928,0.058508930210959695,monthly
15,-0.005679921329377129,0.0758371049190154,-0.15432064697064732,0.14296080431189304,monthly
16,-0.11013784770662838,0.05333300063353256,-0.2146705289483522,-0.005605166464904568,monthly
17,0.1822905286532559,0.0514292131280396,0.08148927092229828,0.2830917863842135,monthly
18,-0.04190106439805957,0.04593299132554787,-0.1319297273961334,0.048127598600014254,monthly
19,0.014139674502871843,0.06782905955291045,-0.11880528222083264,0.14708463122657633,monthly
20,-0.008330176508872859,0.04892439817866549,-0.10422199693905722,0.08756164392131151,monthly
21,0.09240510467108771,0.06952019378634183,-0.04385447515014228,0.2286646844923177,monthly
22,-0.05914897949758952,0.07604872513031305,-0.2082044807530031,0.08990652175782407,monthly
23,0.07101514681100404,0.06393630533056276,-0.05430001163689896,0.19633030525890705,monthly
24,-0.07412249753449308,0.06768861346445455,-0.20679217992482402,0.05854718485583783,monthly
25,-0.03547571633318197,0.057421774254130226,-0.14802239387127722,0.07707096120491327,monthly
