rel_month,coef,se,ci_lo,ci_hi,kind
-12,,,,,monthly
-11,,,,,monthly
-10,,,,,monthly
-9,,,,,monthly
-8,,,,,monthly
-7,,,,,monthly
-6,,,,,monthly
-5,,,,,monthly
-4,,,,,monthly
-3,,,,,monthly
-2,,,,,monthly
-1,,,,,monthly
1,,,,,monthly
2,,,,,monthly
3,,,,,monthly
4,,,,,monthly
5,,,,,monthly
6,,,,,monthly
7,,,,,monthly
8,,,,,monthly
9,,,,,monthly
10,,,,,monthly
11,,,,,monthly
12,,,,,monthly
13,,,,,monthly
14,,,,,monthly
15,,,,,monthly
16,,,,,monthly
17,,,,,monthly
18,,,,,monthly
19,,,,,monthly
20,,,,,monthly
21,,,,,monthly
22,,,,,monthly
23,,,,,monthly
24,,,,,monthly
25,,,,,monthly
