date,total,mean_bureau,median_bureau,reg_type,ln_total,group,post
2007-01-01,108954.0,2179.08,1142.0,mortgage,11.598681053787852,treatment,0
2007-02-01,117893.0,2357.86,1300.0,mortgage,11.677532712413406,treatment,0
2007-03-01,184520.0,3690.4,2027.0,mortgage,12.125513137671756,treatment,0
2007-04-01,197621.0,3952.42,1549.5,mortgage,12.194106333952728,treatment,0
2007-05-01,159324.0,3186.48,1416.0,mortgage,11.978695143683902,treatment,0
2007-06-01,131413.0,2628.26,1353.5,mortgage,11.786100314689937,treatment,0
2007-07-01,146347.0,2926.94,1438.5,mortgage,11.893735793105693,treatment,0
2007-08-01,143693.0,2873.86,1346.0,mortgage,11.875434358284934,treatment,0
2007-09-01,116523.0,2330.46,1171.0,mortgage,11.665843957394866,treatment,0
2007-10-01,161883.0,3237.66,1490.0,mortgage,11.99462913106419,treatment,0
2007-11-01,131927.0,2638.54,1346.5,mortgage,11.790004018287815,treatment,0
2007-12-01,171390.0,3427.8,1613.5,mortgage,12.051696940386618,treatment,0
2008-01-01,107090.0,2141.8,1077.0,mortgage,11.58142488139492,treatment,0
2008-02-01,118024.0,2360.48,1171.5,mortgage,11.678643272597403,treatment,0
2008-03-01,175746.0,3514.92,1680.5,mortgage,12.076795049812201,treatment,0
2008-04-01,193747.0,3874.94,1912.5,mortgage,12.17430846322475,treatment,0
2008-05-01,134101.0,2682.02,1378.0,mortgage,11.806348526363516,treatment,0
2008-06-01,131393.0,2627.86,1466.0,mortgage,11.785948111163087,treatment,0
2008-07-01,154293.0,3085.86,1653.5,mortgage,11.946608671152378,treatment,0
2008-08-01,129039.0,2580.78,1380.0,mortgage,11.767869963234034,treatment,0
2008-09-01,134644.0,2692.88,1493.5,mortgage,11.810389537276627,treatment,0
2008-10-01,155902.0,3118.04,1487.0,mortgage,11.95698288369995,treatment,0
2008-11-01,118643.0,2372.86,1133.0,mortgage,11.683874263073367,treatment,0
2008-12-01,147503.0,2950.06,1489.5,mortgage,11.901603793538229,treatment,0
2009-01-01,124409.0,2488.18,1195.0,mortgage,11.73132980393716,treatment,0
2009-02-01,115851.0,2317.02,1044.0,mortgage,11.6600601616748,treatment,0
2009-03-01,164072.0,3281.44,1432.5,mortgage,12.00806063485357,treatment,0
2009-04-01,182117.0,3642.34,1623.5,mortgage,12.112404616657651,treatment,0
2009-05-01,122085.0,2441.7,1055.5,mortgage,11.712472802429252,treatment,0
2009-06-01,144338.0,2886.76,1457.0,mortgage,11.879913050357342,treatment,0
2009-07-01,148007.0,2960.14,1409.0,mortgage,11.905014848925067,treatment,0
2009-08-01,131742.0,2634.84,1273.5,mortgage,11.788600743497392,treatment,0
2009-09-01,127909.0,2558.18,1297.0,mortgage,11.759074352565849,treatment,0
2009-10-01,150857.0,3017.14,1524.0,mortgage,11.924087647222885,treatment,0
2009-11-01,118685.0,2373.7,1177.0,mortgage,11.684228203615053,treatment,0
2009-12-01,152967.0,3059.34,1442.5,mortgage,11.937977490836433,treatment,0
2010-01-01,121006.0,2420.12,1090.0,mortgage,11.703595410126354,treatment,0
