quarter,syn_deals_total,syn_deals_term,syn_deals_commit,syn_amount_total,syn_amount_term,syn_amount_commit,syn_outstanding_total,syn_outstanding_term,syn_outstanding_commit,perf_n_total,perf_n_sale,perf_n_trust,perf_n_participation,perf_amt_total,perf_amt_sale,perf_amt_trust,perf_amt_participation,nperf_n_total,nperf_n_sale,nperf_n_trust,nperf_n_participation,nperf_amt_total,nperf_amt_sale,nperf_amt_trust,nperf_amt_participation,syn_deals_term_listed,syn_deals_term_private,syn_deals_commit_listed,syn_deals_commit_private,syn_amt_term_listed,syn_amt_term_private,syn_amt_commit_listed,syn_amt_commit_private,syn_out_term_listed,syn_out_term_private,syn_out_commit_listed,syn_out_commit_private,perf_n_to_fi,perf_n_to_spc,perf_amt_to_fi,perf_amt_to_spc,date,year,qnum,t,share_term,share_commit,share_private,share_listed,trans_n_total,trans_amt_total,perf_spc_share,syn_avg_size,perf_avg_size,ln_syn_deals_total,ln_syn_deals_term,ln_syn_deals_commit,ln_syn_amount_total,ln_syn_amount_term,ln_syn_amount_commit,ln_syn_outstanding_total,ln_perf_n_total,ln_perf_amt_total,ln_nperf_n_total,ln_nperf_amt_total,ln_trans_n_total,ln_trans_amt_total,ln_syn_deals_term_listed,ln_syn_deals_term_private,ln_syn_amt_term_listed,ln_syn_amt_term_private,ln_syn_avg_size,ln_perf_avg_size,post,transition,post_incl_trans,Q1,Q2,Q3,Q4,t_post
2003.Ⅱ,170.0,81.0,89.0,32538.0,7521.0,25017.0,,,,786.0,65.0,147.0,574.0,14731.0,965.0,4991.0,8775.0,156.0,155.0,0.0,1.0,3336.0,3259.0,0.0,77.0,39.0,42.0,73.0,16.0,5437.0,2084.0,23441.0,1576.0,,,,,65.0,0.0,965.0,0.0,2003-04-01,2003,2,0,0.23114512262585285,0.7688548773741471,0.11248386501936197,0.887516134980638,942.0,18067.0,0.0,191.4,18.74173027989822,5.135798437050262,4.394449154672439,4.48863636973214,10.390163916069115,8.925454386826402,10.127310872755094,,6.666956792429207,9.597709395814938,5.049856007249537,8.112527763478637,6.848005274576363,9.801842348773928,3.6635616461296463,3.7376696182833684,8.600982717145921,7.642044402873258,5.254365479018854,2.930752603385732,0,0,0,0,1,0,0,0
2003.Ⅲ,601.0,373.0,228.0,46004.0,19305.0,26699.0,,,,970.0,112.0,115.0,743.0,26602.0,6001.0,5956.0,14645.0,685.0,683.0,2.0,0.0,11753.0,11731.0,22.0,0.0,147.0,226.0,172.0,56.0,10637.0,8668.0,21528.0,5171.0,,,,,81.0,30.0,1329.0,4318.0,2003-07-01,2003,3,1,0.41963742283279715,0.5803625771672029,0.3008216676810712,0.6991783323189288,1655.0,38355.0,0.030927835051546393,76.54575707154743,27.424742268041236,6.398594934535208,5.921578419643816,5.429345628954441,10.736483628212472,9.868119408698337,10.192381390503432,,6.877296071497429,10.18874167991324,6.529418838262226,9.371863806132854,7.411556287811163,10.554640176393397,4.990432586778736,5.420534999272286,9.272093768251665,9.067393362656249,4.3378886936772645,3.311445608415813,0,0,0,0,0,1,0,0
2003.Ⅳ,236.0,123.0,113.0,36689.0,11149.0,25540.0,,,,477.0,84.0,78.0,315.0,10120.0,1922.0,3082.0,5116.0,239.0,239.0,0.0,0.0,10147.0,10147.0,0.0,0.0,35.0,88.0,80.0,33.0,4634.0,6515.0,21749.0,3791.0,,,,,79.0,2.0,1180.0,736.0,2003-10-01,2003,4,2,0.3038785467033716,0.6961214532966284,0.2809016326419363,0.7190983673580638,716.0,20267.0,0.0041928721174004195,155.46186440677965,21.21593291404612,5.4638318050256105,4.812184355372417,4.727387818712341,10.510232261594956,9.319105086767571,10.14800112958653,,6.1675164908883415,9.222268942841456,5.476463551931511,9.224933374279082,6.573680166960646,9.916749226519313,3.5553480614894135,4.477336814478207,8.441175704992322,8.781862489558945,5.046400456569345,3.0547524519531155,0,0,0,0,0,0,1,0
2004.Ⅰ,930.0,568.0,362.0,75110.0,34096.0,41014.0,,,,777.0,224.0,154.0,399.0,15548.0,3777.0,4393.0,7378.0,1090.0,1086.0,4.0,0.0,16074.0,15355.0,719.0,0.0,171.0,397.0,243.0,119.0,18574.0,15522.0,31904.0,9110.0,,,,,202.0,21.0,2223.0,1552.0,2004-01-01,2004,1,3,0.453947543602716,0.546052456397284,0.3279456796698176,0.6720543203301824,1867.0,31622.0,0.02702702702702703,80.76344086021506,20.01029601029601,6.835184586147301,6.342121418721152,5.8916442118257715,11.226708984680057,10.436935354338399,10.621668750815715,,6.655440350367647,9.651687291972113,6.993932975223189,9.684958338772663,7.532088143541722,10.36160835987009,5.14166355650266,5.983936280687191,9.829518032335953,9.650013651414085,4.391524398532756,2.996246941604466,0,0,0,1,0,0,0,0
2004.Ⅱ,219.0,118.0,101.0,28586.0,5995.0,22591.0,,,,209.0,56.0,36.0,117.0,3433.0,1337.0,341.0,1755.0,195.0,195.0,0.0,0.0,2353.0,2353.0,0.0,0.0,22.0,96.0,71.0,30.0,1782.0,4213.0,20412.0,2179.0,,,,,49.0,6.0,1263.0,71.0,2004-04-01,2004,2,4,0.20971804379766318,0.7902819562023368,0.22360596095991045,0.7763940390400895,404.0,5786.0,0.028708133971291867,130.5296803652968,16.425837320574164,5.389071729816501,4.770684624465665,4.61512051684126,10.260672366469061,8.698681067461614,10.025306875857222,,5.342334251964811,8.141189793457691,5.272999558563747,7.763446388727362,6.0014148779611505,8.66319648553608,3.091042453358316,4.564348191467836,7.485491608030754,8.345930261979017,4.87160063665256,2.7988555414928813,0,0,0,0,1,0,0,0
2004.Ⅲ,827.0,513.0,314.0,56604.0,22948.0,33656.0,243268.0,119396.0,123872.0,507.0,215.0,79.0,213.0,12852.0,5200.0,3155.0,4497.0,1250.0,1241.0,2.0,7.0,11899.0,11460.0,163.0,276.0,125.0,388.0,194.0,120.0,9692.0,13256.0,23454.0,10202.0,61826.0,57570.0,100414.0,23458.0,194.0,16.0,3526.0,1652.0,2004-07-01,2004,3,5,0.4054130450144866,0.5945869549855134,0.41442300897463075,0.5855769910253692,1757.0,24751.0,0.03155818540433925,68.44498186215236,25.349112426035504,6.717804695023691,6.240275845170769,5.749392985908253,10.943834933072262,10.040986065721762,10.423946625270357,12.40191899525504,6.2285110035911835,9.461254720235749,7.1308988302963465,9.384209641955154,7.471363088187097,10.11662117122102,4.8283137373023015,5.961005339623274,9.179056081936416,9.492205559106399,4.226030238048571,3.232743716644566,0,0,0,0,0,1,0,0
2004.Ⅳ,417.0,273.0,144.0,36556.0,12902.0,23654.0,251029.0,128829.0,122200.0,226.0,120.0,34.0,72.0,4740.0,2495.0,975.0,1270.0,249.0,249.0,0.0,0.0,7517.0,7517.0,0.0,0.0,61.0,212.0,93.0,51.0,4062.0,8840.0,19052.0,4602.0,64107.0,64722.0,98680.0,23520.0,100.0,20.0,1933.0,563.0,2004-10-01,2004,4,6,0.3529379582011161,0.6470620417988839,0.36770981507823614,0.6322901849217639,475.0,12257.0,0.08849557522123894,87.6642685851319,20.97345132743363,6.0330862217988015,5.60947179518496,4.969813299576001,10.506600610392093,9.465137617092187,10.071287512811063,12.433323749288544,5.420534999272286,8.463792414689122,5.517452896464707,8.924922401177469,6.163314804034641,9.413852481341165,4.110873864173311,5.356586274672012,8.30943074214033,9.08704215563169,4.473514388593291,3.043257415416836,0,0,0,0,0,0,1,0
2005.Ⅰ,1158.0,704.0,454.0,94670.0,39660.0,55010.0,289329.0,148767.0,140562.0,561.0,364.0,47.0,150.0,12054.0,5390.0,3413.0,3251.0,913.0,909.0,3.0,1.0,20303.0,19908.0,132.0,263.0,184.0,520.0,259.0,195.0,20447.0,19213.0,45500.0,9510.0,73884.0,74883.0,114100.0,26462.0,317.0,35.0,4548.0,783.0,2005-01-01,2005,1,7,0.41892891095383966,0.5810710890461603,0.30340128868701804,0.6965987113129819,1474.0,32357.0,0.062388591800356503,81.75302245250431,21.486631016042782,7.05444965813294,6.556778356158042,6.118097198041348,11.458152439122937,10.588098402073786,10.915270265869504,12.575319727903697,6.329720905522696,9.39715183404299,6.816735880594968,9.918523937362242,7.295735072749282,10.38458565982913,5.214935757608986,6.253828811575473,9.925591451443054,9.8633424122317,4.403702780989996,3.067430928520293,0,0,0,1,0,0,0,0
2005.Ⅱ,264.0,168.0,96.0,38654.0,14559.0,24095.0,304378.0,162506.0,141872.0,181.0,80.0,44.0,57.0,4478.0,1535.0,1542.0,1401.0,195.0,194.0,1.0,0.0,2589.0,2558.0,31.0,0.0,45.0,123.0,69.0,27.0,4279.0,10280.0,21532.0,2563.0,78378.0,84128.0,115417.0,26455.0,75.0,5.0,1271.0,264.0,2005-04-01,2005,2,8,0.37664924716717546,0.6233507528328246,0.33225539400838205,0.6677446059916179,376.0,7067.0,0.027624309392265192,146.41666666666666,24.740331491712706,5.575949103146316,5.123963979403259,4.564348191467836,10.562405541545413,9.585964638073326,10.089759629074432,12.626025629033252,5.198497031265826,8.4069317971587,5.272999558563747,7.859026979751538,5.929589143389895,8.863191340690854,3.8066624897703196,4.812184355372417,8.361474616416817,9.237955539009157,4.986456438399097,3.2084347658928745,0,0,0,0,1,0,0,0
2005.Ⅲ,1142.0,721.0,421.0,83540.0,43756.0,39784.0,331612.0,186256.0,145356.0,478.0,367.0,44.0,67.0,10479.0,5618.0,3236.0,1625.0,1053.0,1048.0,2.0,3.0,7657.0,7342.0,143.0,172.0,178.0,543.0,223.0,198.0,12051.0,31705.0,26932.0,12852.0,81860.0,104396.0,115270.0,30086.0,359.0,2.0,5523.0,50.0,2005-07-01,2005,3,9,0.5237730428537227,0.4762269571462772,0.5333612640651185,0.4666387359348815,1531.0,18136.0,0.0041841004184100415,73.15236427320491,21.922594142259413,7.040536390215956,6.580639137284949,6.042632833682381,11.333080838051167,10.686384025239681,10.591220100394574,12.71172088976703,6.169610732491456,9.257128533474942,6.959398512133975,8.943375541113124,7.333676395657684,9.805654192187365,5.181783550292085,6.297109319933935,9.396902923027392,10.364229676134132,4.292544447835211,3.087517800983486,0,0,0,0,0,1,0,0
